ts,bench,variant,tool,nfiles,filesize_bytes,conc,wall_s,peak_pss_mb,peak_rss_mb,rc,mem_method
2026-07-20T04:36:06-06:00,crawling,crawl,copy2,1000000,2048,8,27.169,60.0,64.3,0,sampler
2026-07-20T04:37:59-06:00,crawling,crawl,rsync,1000000,2048,1,105.4,8.7,25.2,0,sampler
2026-07-20T04:38:18-06:00,crawling,crawl,rclone,1000000,2048,128,11.71,159.9,161.6,0,sampler
2026-07-20T04:39:27-06:00,crawling,crawl,fpsync,1000000,2048,16,62.645,18.7,124.4,0,sampler
2026-07-20T04:40:36-06:00,metadata,metadata,copy2,1000000,2048,8,12.123,59.9,64.0,0,sampler
2026-07-20T04:41:50-06:00,metadata,metadata,rsync,1000000,2048,1,55.758,9.4,25.2,0,sampler
2026-07-20T04:42:15-06:00,metadata,metadata,rclone,1000000,2048,128,9.886,155.5,157.2,0,sampler
2026-07-20T04:43:23-06:00,metadata,metadata,fpsync,1000000,2048,16,50.544,19.1,128.9,0,sampler
2026-07-20T04:43:43-06:00,hardlinks,hardlinks,copy2,1000000,2048,8,10.091,88.7,92.4,0,sampler
2026-07-20T04:44:09-06:00,hardlinks,hardlinks,rsync,1000000,2048,1,14.501,22.4,38.4,0,sampler
2026-07-20T04:45:13-06:00,hardlinks,hardlinks,rclone,1000000,2048,128,52.736,134.4,136.1,0,sampler
2026-07-20T04:46:41-06:00,hardlinks,hardlinks,fpsync,1000000,2048,16,56.018,44.8,337.7,0,sampler
2026-07-20T04:47:24-06:00,transfer,transfer,copy2,1000000,2048,8,39.213,75.9,79.7,0,sampler
2026-07-20T04:49:27-06:00,transfer,transfer,rsync,1000000,2048,1,95.073,11.2,27.1,0,sampler
2026-07-20T04:50:48-06:00,transfer,transfer,rclone,1000000,2048,128,53.545,135.3,137.0,0,sampler
2026-07-20T04:52:01-06:00,transfer,transfer,fpsync,1000000,2048,16,39.05,41.5,309.1,0,sampler
2026-07-20T04:52:15-06:00,mem_scaling,transfer,copy2,10000,2048,8,3.092,68.5,72.4,0,sampler
2026-07-20T04:52:16-06:00,mem_scaling,transfer,rsync,10000,2048,1,1.085,10.2,26.5,0,sampler
2026-07-20T04:52:18-06:00,mem_scaling,transfer,rclone,10000,2048,128,0.8,108.0,109.8,0,sampler
2026-07-20T04:52:21-06:00,mem_scaling,transfer,fpsync,10000,2048,16,1.771,11.9,75.2,0,sampler
2026-07-20T04:52:28-06:00,mem_scaling,transfer,copy2,100000,2048,8,6.136,73.6,77.5,0,sampler
2026-07-20T04:52:41-06:00,mem_scaling,transfer,rsync,100000,2048,1,9.919,10.3,26.6,0,sampler
2026-07-20T04:52:50-06:00,mem_scaling,transfer,rclone,100000,2048,128,5.51,139.0,140.7,0,sampler
2026-07-20T04:52:59-06:00,mem_scaling,transfer,fpsync,100000,2048,16,4.781,38.5,290.4,0,sampler
2026-07-20T04:54:18-06:00,mem_scaling,transfer,copy2,1000000,2048,8,38.092,73.7,77.6,0,sampler
2026-07-20T04:55:46-06:00,mem_scaling,transfer,rsync,1000000,2048,1,57.436,11.3,27.5,0,sampler
2026-07-20T04:57:05-06:00,mem_scaling,transfer,rclone,1000000,2048,128,53.766,141.5,143.2,0,sampler
2026-07-20T04:58:18-06:00,mem_scaling,transfer,fpsync,1000000,2048,16,39.156,42.6,311.3,0,sampler
2026-07-20T04:58:53-06:00,mem_hlinks,hardlinks,copy2,1000000,2048,8,10.105,88.3,92.1,0,sampler
2026-07-20T04:59:58-06:00,mem_hlinks,hardlinks,rsync,1000000,2048,1,53.246,22.3,38.5,0,sampler
2026-07-20T05:01:02-06:00,mem_hlinks,hardlinks,rclone,1000000,2048,128,53.791,133.6,135.4,0,sampler
2026-07-20T05:02:25-06:00,mem_hlinks,hardlinks,fpsync,1000000,2048,16,45.601,42.6,309.9,0,sampler
2026-07-20T05:04:17-06:00,mem_flat,transfer,copy2,1000000,2048,8,65.122,68.9,72.7,0,sampler
2026-07-20T05:06:48-06:00,mem_flat,transfer,rsync,1000000,2048,1,116.814,117.0,184.3,0,sampler
2026-07-20T05:09:05-06:00,mem_flat,transfer,rclone,1000000,2048,128,98.85,484.3,488.0,0,sampler
2026-07-20T05:10:52-06:00,mem_flat,transfer,fpsync,1000000,2048,16,75.224,340.0,675.4,0,sampler
2026-07-20T05:11:06-06:00,mem_deep,transfer,copy2,50000,2048,8,4.102,74.4,78.2,0,sampler
2026-07-20T05:11:14-06:00,mem_deep,transfer,rsync,50000,2048,1,5.769,206.9,223.1,0,sampler
2026-07-20T05:11:21-06:00,mem_deep,transfer,rclone,50000,2048,128,3.427,274.5,276.2,0,sampler
2026-07-20T05:11:56-06:00,mem_deep,transfer,fpsync,50000,2048,16,27.307,18.1,93.6,0,sampler
